"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Cowrie,"2025-04-01 00:00","4,530"
Cowrie,"2025-04-01 12:00","10,480"
Cowrie,"2025-04-02 00:00","27,486"
Cowrie,"2025-04-02 12:00","20,143"
Cowrie,"2025-04-03 00:00","93,906"
Cowrie,"2025-04-03 12:00","13,292"
Cowrie,"2025-04-04 00:00","14,191"
Cowrie,"2025-04-04 12:00","21,607"
Cowrie,"2025-04-05 00:00","12,015"
Cowrie,"2025-04-05 12:00","12,778"
Cowrie,"2025-04-06 00:00","14,411"
Cowrie,"2025-04-06 12:00","22,247"
Cowrie,"2025-04-07 00:00","10,567"
Cowrie,"2025-04-07 12:00","13,403"
Cowrie,"2025-04-08 00:00","13,195"
Cowrie,"2025-04-08 12:00","15,787"
Cowrie,"2025-04-09 00:00","15,145"
Cowrie,"2025-04-09 12:00","15,668"
Cowrie,"2025-04-10 00:00","13,373"
Cowrie,"2025-04-10 12:00","15,568"
Cowrie,"2025-04-11 00:00","11,623"
Cowrie,"2025-04-11 12:00","11,209"
Cowrie,"2025-04-12 00:00","13,829"
Cowrie,"2025-04-12 12:00","13,411"
Cowrie,"2025-04-13 00:00","13,626"
Cowrie,"2025-04-13 12:00","14,363"
Honeytrap,"2025-04-01 00:00","2,373"
Honeytrap,"2025-04-01 12:00","18,564"
Honeytrap,"2025-04-02 00:00","6,247"
Honeytrap,"2025-04-02 12:00","8,459"
Honeytrap,"2025-04-03 00:00","7,067"
Honeytrap,"2025-04-03 12:00","6,841"
Honeytrap,"2025-04-04 00:00","10,083"
Honeytrap,"2025-04-04 12:00","7,840"
Honeytrap,"2025-04-05 00:00","10,322"
Honeytrap,"2025-04-05 12:00","8,046"
Honeytrap,"2025-04-06 00:00","10,446"
Honeytrap,"2025-04-06 12:00","7,919"
Honeytrap,"2025-04-07 00:00","6,389"
Honeytrap,"2025-04-07 12:00","7,902"
Honeytrap,"2025-04-08 00:00","5,793"
Honeytrap,"2025-04-08 12:00","6,400"
Honeytrap,"2025-04-09 00:00","7,134"
Honeytrap,"2025-04-09 12:00","8,895"
Honeytrap,"2025-04-10 00:00","21,714"
Honeytrap,"2025-04-10 12:00","6,134"
Honeytrap,"2025-04-11 00:00","8,115"
Honeytrap,"2025-04-11 12:00","6,226"
Honeytrap,"2025-04-12 00:00","53,897"
Honeytrap,"2025-04-12 12:00","9,235"
Honeytrap,"2025-04-13 00:00","7,890"
Honeytrap,"2025-04-13 12:00","6,876"
Dionaea,"2025-04-01 00:00",500
Dionaea,"2025-04-01 12:00","1,307"
Dionaea,"2025-04-02 00:00","10,681"
Dionaea,"2025-04-02 12:00","4,187"
Dionaea,"2025-04-03 00:00","8,915"
Dionaea,"2025-04-03 12:00","7,627"
Dionaea,"2025-04-04 00:00","4,810"
Dionaea,"2025-04-04 12:00","4,420"
Dionaea,"2025-04-05 00:00","1,432"
Dionaea,"2025-04-05 12:00","4,493"
Dionaea,"2025-04-06 00:00","1,420"
Dionaea,"2025-04-06 12:00","1,226"
Dionaea,"2025-04-07 00:00","1,513"
Dionaea,"2025-04-07 12:00","1,339"
Dionaea,"2025-04-08 00:00","3,312"
Dionaea,"2025-04-08 12:00","1,654"
Dionaea,"2025-04-09 00:00","4,883"
Dionaea,"2025-04-09 12:00","5,872"
Dionaea,"2025-04-10 00:00","8,227"
Dionaea,"2025-04-10 12:00","7,668"
Dionaea,"2025-04-11 00:00","1,544"
Dionaea,"2025-04-11 12:00","1,279"
Dionaea,"2025-04-12 00:00","4,492"
Dionaea,"2025-04-12 12:00","1,314"
Dionaea,"2025-04-13 00:00","1,148"
Dionaea,"2025-04-13 12:00","1,388"
Heralding,"2025-04-01 00:00",16
Heralding,"2025-04-01 12:00",19
Heralding,"2025-04-02 00:00",16
Heralding,"2025-04-02 12:00",361
Heralding,"2025-04-03 00:00",316
Heralding,"2025-04-03 12:00",757
Heralding,"2025-04-04 00:00",341
Heralding,"2025-04-04 12:00",558
Heralding,"2025-04-05 00:00",574
Heralding,"2025-04-05 12:00",559
Heralding,"2025-04-06 00:00",571
Heralding,"2025-04-06 12:00",610
Heralding,"2025-04-07 00:00",571
Heralding,"2025-04-07 12:00",599
Heralding,"2025-04-08 00:00",595
Heralding,"2025-04-08 12:00",660
Heralding,"2025-04-09 00:00",623
Heralding,"2025-04-09 12:00",593
Heralding,"2025-04-10 00:00","2,343"
Heralding,"2025-04-10 12:00","5,335"
Heralding,"2025-04-11 00:00","4,278"
Heralding,"2025-04-11 12:00","1,219"
Heralding,"2025-04-12 00:00","1,374"
Heralding,"2025-04-12 12:00","1,028"
Heralding,"2025-04-13 00:00","8,010"
Heralding,"2025-04-13 12:00",825
Sentrypeer,"2025-04-01 00:00",10
Sentrypeer,"2025-04-01 12:00","1,359"
Sentrypeer,"2025-04-02 00:00","2,412"
Sentrypeer,"2025-04-02 12:00","2,630"
Sentrypeer,"2025-04-03 00:00",505
Sentrypeer,"2025-04-03 12:00",140
Sentrypeer,"2025-04-04 00:00",204
Sentrypeer,"2025-04-04 12:00",50
Sentrypeer,"2025-04-05 00:00",10
Sentrypeer,"2025-04-05 12:00",88
Sentrypeer,"2025-04-06 00:00",299
Sentrypeer,"2025-04-06 12:00",192
Sentrypeer,"2025-04-07 00:00",830
Sentrypeer,"2025-04-07 12:00","1,219"
Sentrypeer,"2025-04-08 00:00",24
Sentrypeer,"2025-04-08 12:00",59
Sentrypeer,"2025-04-09 00:00",63
Sentrypeer,"2025-04-09 12:00",80
Sentrypeer,"2025-04-10 00:00",81
Sentrypeer,"2025-04-10 12:00",84
Sentrypeer,"2025-04-11 00:00",88
Sentrypeer,"2025-04-11 12:00",529
Sentrypeer,"2025-04-12 00:00","2,321"
Sentrypeer,"2025-04-12 12:00","2,270"
Sentrypeer,"2025-04-13 00:00","2,354"
Sentrypeer,"2025-04-13 12:00","1,490"
