"Timestamp per 12 hours",Attacks,"Unique Source IPs"
"2025-04-01 00:00","7,829",940
"2025-04-01 12:00","32,953","2,143"
"2025-04-02 00:00","47,649","2,123"
"2025-04-02 12:00","36,888","2,888"
"2025-04-03 00:00","111,449","3,029"
"2025-04-03 12:00","29,509","3,289"
"2025-04-04 00:00","30,490","2,799"
"2025-04-04 12:00","36,207","2,908"
"2025-04-05 00:00","25,704","2,880"
"2025-04-05 12:00","26,849","2,802"
"2025-04-06 00:00","28,935","2,778"
"2025-04-06 12:00","33,181","2,556"
"2025-04-07 00:00","20,607","2,518"
"2025-04-07 12:00","25,321","2,563"
"2025-04-08 00:00","24,160","2,700"
"2025-04-08 12:00","25,459","2,638"
"2025-04-09 00:00","28,830","2,713"
"2025-04-09 12:00","32,125","3,107"
"2025-04-10 00:00","47,347","3,254"
"2025-04-10 12:00","35,897","3,132"
"2025-04-11 00:00","26,868","3,085"
"2025-04-11 12:00","21,252","2,912"
"2025-04-12 00:00","78,407","2,996"
"2025-04-12 12:00","28,385","3,059"
"2025-04-13 00:00","34,504","2,895"
"2025-04-13 12:00","28,745","2,981"
